"","id","gender","workhour","drivelic","travel"
"88",1088,"F",0,"Y","Y"
"89",1089,"M",0,"Y","Y"
"90",1090,"M",0,"Y","Y"
"91",1091,"M",0,"Y","Y"
"92",1092,"M",0,"Y","Y"
"93",1093,"F",10,"N","Y"
"94",1094,"M",0,"Y","Y"
"95",1095,"M",10,"N","N"
"96",1096,"M",0,"Y","Y"
"97",1097,"M",0,"N","N"
"98",1098,"F",0,"Y","Y"
"99",1099,"M",3,"N","N"
"100",1100,"F",5,"Y","Y"
"101",1101,"M",0,"N","Y"
"102",1102,"F",8,"N","Y"
"103",1103,"F",24,"Y","Y"
"104",1104,"M",10,"N","N"
"105",1105,"F",20,"Y","Y"
"106",1106,"F",0,"Y","Y"
"107",1107,"M",40,"Y","Y"
"108",1108,"F",5,"N","Y"
"109",1109,"M",0,"Y","Y"
"110",1110,"F",0,"Y","Y"
"111",1111,"F",8,"N","N"
"112",1112,"F",15,"Y","Y"
"113",1113,"M",11,"N","N"
"114",1114,"M",25,"Y","N"
"115",1115,"F",27.5,"Y","Y"
"116",1116,"M",20,"Y","Y"
"117",1117,"F",30,"Y","Y"
"118",1118,"M",12.5,"Y","Y"
"119",1119,"M",0,"N","Y"
"120",1120,"M",20,"Y","Y"
"121",1121,"M",0,"Y","Y"
"122",1122,"M",0,"N","Y"
"123",1123,"M",4,"N","Y"
"124",1124,"F",18,"N","N"
"125",1125,"F",11,"Y","Y"
"126",1126,"F",5,"N","Y"
"127",1127,"M",20,"Y","N"
"128",1128,"M",0,"Y","Y"
"129",1129,"M",12,"Y","Y"
"130",1130,"M",0,"Y","Y"
"131",1131,"M",16,"Y","N"
"132",1132,"F",0,"Y","Y"
"133",1133,"M",0,"Y","Y"
"134",1134,"M",0,"N","Y"
"135",1135,"M",40,"Y","Y"
"136",1136,"F",12.5,"N","Y"
"137",1137,"F",30,"Y","Y"
"138",1138,"F",20,"Y","Y"
"139",1139,"M",17.5,"Y","Y"
"140",1140,"M",15,"Y","Y"
"141",1141,"F",27.5,"Y","N"
"142",1142,"M",5,"N","Y"
"143",1143,"M",0,"Y","N"
"144",1144,"F",15,"Y","Y"
"145",1145,"M",20,"Y","Y"
"146",1146,"M",6,"N","Y"
"147",1147,"F",20,"N","Y"
"148",1148,"F",30,"Y","Y"
"149",1149,"M",0,"N","Y"
"150",1150,"M",15,"Y","N"
"151",1151,"F",25,"Y","N"
"152",1152,"F",0,"Y","Y"
"153",1153,"M",10,"N","N"
"154",1154,"F",20,"Y","Y"
"155",1155,"F",0,"N","Y"
"156",1156,"M",0,"Y","N"
"157",1157,"M",0,"Y","Y"
"158",1158,"M",0,"Y","Y"
"159",1159,"M",0,"Y","Y"
"160",1160,"F",12,"Y","N"
"161",1161,"M",6,"Y","Y"
"162",1162,"M",0,"N","Y"
"163",1163,"M",8,"N","N"
"164",1164,"M",15,"N","Y"
"165",1165,"M",0,"Y","Y"
"166",1166,"M",0,"Y","Y"
"167",1167,"M",0,"Y","Y"
"168",1168,"M",10,"Y","Y"
"169",1169,"M",5,"Y","N"
"170",1170,"F",0,"Y","N"
"171",1171,"M",0,"N","N"
"172",1172,"M",0,"N","Y"
"173",1173,"M",0,"N","Y"
"174",1174,"M",0,"Y","Y"
"175",1175,"F",6,"Y","N"
"176",1176,"M",6,"Y","Y"
"177",1177,"M",0,"Y","Y"
"178",1178,"M",20,"Y","Y"
"179",1179,"M",0,"Y","Y"
"180",1180,"M",0,"N","Y"
"181",1181,"F",0,"Y","N"
"182",1182,"M",0,"Y","N"
"183",1183,"F",0,"Y","N"
"184",1184,"F",0,"Y","Y"
"185",1185,"M",0,"N","Y"
"186",1186,"F",0,"Y","Y"
"187",1187,"F",10,"Y","N"
"188",1188,"M",0,"N","Y"
"189",1189,"M",0,"N","Y"
"190",1190,"M",0,"Y","Y"
"191",1191,"F",25,"Y","Y"
"192",1192,"M",0,"Y","Y"
"193",1193,"M",0,"N","N"
"194",1194,"M",2,"Y","Y"
"195",1195,"M",0,"Y","Y"
"196",1196,"M",10,"N","Y"
"197",1197,"F",8,"N","Y"
"198",1198,"M",0,"Y","Y"
"199",1199,"F",10,"Y","Y"
"200",1200,"F",6,"N","Y"
"201",1201,"F",0,"N","Y"
"202",1202,"M",6,"N","Y"
"203",1203,"M",15,"N","Y"
"204",1204,"M",10,"Y","Y"
"205",1205,"M",0,"N","Y"
"206",1206,"F",8,"N","N"
"207",1207,"M",0,"N","Y"
"208",1208,"M",0,"Y","N"
"209",1209,"M",12,"Y","N"
"210",1210,"F",17.5,"Y","N"
"211",1211,"M",0,"Y","Y"
"212",1212,"F",9,"N","N"
"213",1213,"F",18,"Y","Y"
"214",1214,"F",0,"N","Y"
"215",1215,"M",40,"Y","Y"
"216",1216,"F",9,"N","Y"
"217",1217,"M",6,"Y","N"
"218",1218,"F",12.5,"Y","Y"
"219",1219,"M",12.5,"Y","Y"
